,centroid_x,centroid_y,minx,miny,maxx,maxy,watershed_area,station
70403,48.528370463013616,66.23531428088985,47.968409485628285,65.77552656513348,49.1719469910536,66.71778560467612,2895.751822360774,70403
70410,58.21649824037566,61.85515747413256,56.54216941681371,61.44011956367938,59.48545579099995,62.39443790491778,9581.041750453089,70410
70414,57.62824084438558,62.421624511184135,54.92328607876887,61.44011956367938,59.62158985449612,63.612515605775066,35676.82281375618,70414
70421,57.467659680214176,63.08916729201453,54.781627730812204,61.44011956367938,59.82348105770378,64.85783233143806,67491.62241876526,70421
70444,58.544647841565975,62.76420622388754,57.41159236459729,62.15314312896074,59.62158985449612,63.612515605775066,10528.61795265782,70444
70458,56.14965494071172,64.54490533602991,55.10382823954142,64.25793793995494,57.05050342685922,64.89499371250741,4431.925969968461,70458
70463,64.28986191833353,67.38638749209079,62.595702469501724,66.64070129595137,66.0940030167413,68.03341250779175,13920.305452749151,70463
70466,63.290072008639136,66.8577074007536,60.61804753429663,65.33030204224397,66.0940030167413,68.03341250779175,27218.81029943387,70466
70468,61.89951241529452,66.51381402826055,58.442145249742126,64.78820318139488,66.0940030167413,68.03341250779175,54440.35027483827,70468
70494,60.48103803026271,67.39447550958135,58.63047571019444,66.81093480432223,61.92288063526003,68.19822705094612,8594.53726976285,70494
70499,58.73476672715383,67.68698316563864,57.835207214772495,67.16426325101055,60.03447331202562,68.27579706664905,5439.4027603856985,70499
70505,55.47741547095595,67.19561115188313,54.355441257314155,66.74468913399308,56.5879672016135,67.59306387209142,4617.92907210089,70505
70509,53.96870180874041,63.41698971090167,52.41720350582911,62.663087512313126,55.33559688771694,64.22335463634525,15056.904464814508,70509
70512,53.66782675878212,63.68528912341253,52.0048108208001,62.663087512313126,55.33559688771694,64.76703027304359,22805.100264139084,70512
70522,53.005712021160186,63.48697420771346,52.41720350582911,62.850267207578455,53.753669907881545,64.03465659079913,4313.801480366767,70522
70531,51.17297368635439,64.78325449908192,50.00182307984319,64.38626454110963,52.197129403571275,65.25042690730028,4868.411273686749,70531
70533,50.318884038958814,65.8215778068722,48.74196189457715,64.79417633650155,51.88602653708762,66.71699481174875,20885.995179111622,70533
70540,50.0846197885394,67.05107824443365,48.59942189901825,66.45652049801518,51.40492194060659,67.79339938872513,8226.569144976253,70540
70801,46.56512982171968,61.756749482734314,38.39440028077101,58.526468194412345,56.41011195485472,64.78907765881236,348651.1317129591,70801
70827,56.48708079421615,65.4385368049893,48.59942189901825,61.44011956367938,66.0940030167413,68.27579706664905,311381.35360149207,70827
70842,39.236475048381244,62.121072526379805,37.24613160167811,60.071940699787156,41.651191961364965,64.14117044167945,55679.78760619194,70842
70844,48.052008817101246,64.08513417704822,44.594610098933636,62.1283071866164,50.901885443488545,65.49748533430277,56349.02277403241,70844
70850,57.67063425989335,65.19818088618537,50.00182307984319,61.44011956367938,66.0940030167413,68.27579706664905,253065.54896608848,70850
71186,36.00369941005362,66.97590842120255,34.48838298127683,66.3804499380343,37.62035538231899,67.52672428442861,7959.761169577498,71186
72043,30.830615457608552,59.31252526567125,30.582039307408195,59.04617332612082,31.093365859866914,59.573962559978966,1275.0705212792066,72043
72156,34.08747962733485,60.02054065567085,32.97559154199181,59.620900418572425,35.11776275947479,60.33367947698132,5824.807819076488,72156
72459,30.367209888661264,56.44808879142244,29.634276921413008,55.60245648107019,31.16678152548817,57.27184828921184,9017.261838109669,72459
72552,29.558074194739174,59.76806439278945,29.23300001282035,59.65546444082426,29.874752652923892,59.91277827308814,552.6378525881292,72552
72559,28.94090942234109,59.6136839266682,28.60603642463658,59.49784178281491,29.22839403469712,59.73687889360617,536.9129257025057,72559
72566,30.373527179202096,58.66323730860109,29.552391084729653,58.44255291777107,31.042402852633998,59.06726744221445,2485.8374346395,72566
73108,32.20274809237902,56.703891907811645,31.6965961649881,56.2516452247076,32.588949802015,56.981209625137055,2140.6112316573426,73108
73110,32.28276299399038,56.10434683173218,31.004529481262153,55.3817345836029,33.89512851094868,56.981209625137055,17948.101456045286,73110
73190,32.922351365725525,55.97501370394512,31.95295546151023,55.45235087087854,33.895128510948666,56.529029963142534,7045.162435242652,73190
73196,33.34412187430568,55.852892889899046,32.780694332275694,55.618384371198005,33.89512851094868,56.03174047714845,1601.8323421715133,73196
73215,31.80780893426313,55.13210015733338,31.255634800192116,54.80990254222071,32.368438814559454,55.4706950462762,2577.5125580320964,73215
74317,36.14636182808443,54.12941690528364,33.210061525047955,52.334061683428146,38.53460859818219,55.58754183395167,68763.18364286749,74317
75006,33.840486454662894,56.41105608774664,31.998634383282276,55.276078022409244,35.43316185789148,57.578123168052116,21155.808478353574,75006
75033,34.119318353721,55.52912196465519,33.86881709805535,55.31811991666964,34.384243476129136,55.69309231625689,693.1004841916159,75033
75058,34.69356366428161,57.193925604025885,33.785288413346855,56.80208551717126,35.4999284812187,57.696522722472906,5760.59313339103,75058
75074,35.99144143401716,56.10528113346867,35.5644204185734,55.934664287472785,36.497641647493346,56.28398697172487,1381.5663210383948,75074
75079,37.99214671277779,56.53522261484101,37.519146059997816,56.311021880330564,38.54109313556167,56.79473039649615,2110.7883718339463,75079
75106,37.636729879753474,57.65799907835977,36.977023164269255,57.45284426844883,38.125003470166924,57.83598174469965,1629.767264084624,75106
75108,38.52326869550178,57.46234817399204,38.31652802258474,57.33177138102935,38.77827703734495,57.6317228260319,504.48632273285057,75108
75110,38.156258353242606,57.79024614287717,37.87558133035584,57.65965048187092,38.354335569064446,57.92563642101985,353.131627988974,75110
75111,38.01224073214272,57.92804115537726,37.881674345994135,57.840398145617904,38.12569332607077,58.002865011984035,187.0228090859164,75111
75119,37.05296267415825,58.437755732341955,36.88942402102785,58.313798608489684,37.19594116238111,58.60108230539792,368.90953534443224,75119
75121,36.18814540156363,57.67024508278101,35.9511202808992,57.568431213708074,36.433446363123046,57.76102268667332,416.4652422302695,75121
75150,34.595981566840344,59.29682864785717,34.07458824575689,59.03007199845238,35.135185223960534,59.68789458547519,2656.58357697716,75150
